MnuNo,MenuOpt,MnuName,MnuCap,MnuPgm,ExeName,MnuWght,AllowWhenTrnClosed,pgmopt,DbInfo,MenuIcon,Menusep,MenuBold,MultiInstance,SourceFile
550,554,Data Export Masters,ID / IM Flat File,P,SR309700.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
550,555,Data Export Masters,Customer Information,P,SR312200.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
550,558,Data Export Masters,'Replication Export (AST,,,0,0,0,,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
560,561,Back-end Data,Configure,P,SE100140.EXE,0,0,0,0,,0,0,0,ZIP:SH9_0170_EE_9_02.S9Q
560,562,Back-end Data,Import,P,SE100120.EXE,0,0,0,0,,0,0,0,ZIP:SH9_0170_EE_9_02.S9Q
600,601,Catalogue,General Lookup,P,SR429200.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,602,Catalogue,Vendor,P,SR404800.EXE,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,603,Catalogue,Tax,P,SR708100.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,604,Catalogue,Item Classification,P,SR404900.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,605,Catalogue,Size Management,P,SR430100.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,606,Catalogue,Item Master,P,SR122000.exe,0,0,1,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,607,Catalogue,Define Price Revisions,P,SR230500.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,608,Catalogue,Define Sales Promotions,P,SR430300.EXE,0,0,1,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,609,Catalogue,Sales Factors,P,SR100700.Exe,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q|UPDATE:SH9_020_EE_0_02.S9Q|UPDATE:ZIP:SH9_020_EE_0_02.S9Q
600,610,Catalogue,Payment Mode,P,SR405600.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,611,Catalogue,HO Chain Stores,P,SR405300.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,612,Catalogue,Sales Personnel,P,SR405700.EXE,0,0,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,613,Catalogue,Customer Price Group,P,SR404700.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,614,Catalogue,Customer,P,SR405100.EXE,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,615,Catalogue,Customer Mailer,P,SR430900.EXE,0,1,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,616,Catalogue,Print Address Labels,P,SR323600.EXE,0,1,0,0,,1,0,0,ZIP:SH9_013_EE_0_10.S9Q
600,617,Excise Duty,Excise Duty,P,SR439900.EXE,0,0,1,0,,0,0,0,ZIP:SH9_0161_EE_0_01.S9Q
600,650,Catalogue,Listings,M,,0,0,0,0,,0,0,0,ZIP:SH9_013_EE_0_10.S9Q
603,6031,Sales Tax,Sales Tax,P,SR708100.EXE,0,0,1,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
603,6032,Purchase Tax,Purchase Tax,P,SR708100.EXE,0,0,3,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
603,6033,Excise Duty,Excise Duty,P,SR439900.EXE,0,0,1,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
609,6091,Sales Factors,Sales Factors,P,SR405800.EXE,0,0,0,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
609,6092,Stock Factors,Stock Factors,P,CZ100700.EXE,0,0,0,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
612,6121,Personnel,Personnel Catalogue,P,SR442900.EXE,0,0,1,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
612,6124,Personnel,Incentive Definition,P,SR443900.exe,0,0,1,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
613,6131,Customer Price Group,Customer Price Group,P,SR404700.EXE,0,0,1,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
613,6132,Customer,Customer Catalogue,P,SR442300.EXE,0,0,0,,,,0,0,ZIP:SH9_020_EE_0_02.S9Q
