ExeName,Classification,MenuCount,Capabilities,MnuRefs
SR236300.Exe,EXECUTABLE,3,Attribute + Size wise | Attribute + Size wise | Attribute-wise Sales and Stock,410/422 | 430/438 | 470/474
SR238000.Exe,REPORT,1,Tax Register,430/443
SR238400.EXE,EXECUTABLE,1,Salesperson-wise Discount,470/483
SR239600.EXE,REPORT,2,Reconciliation Report | Till Status Report,460/469 | 460/470
SR239800.Exe,EXECUTABLE,1,Void Transactions,430/444
SR240000.EXE,REPORT,1,Excise Report,470/491
SR240400.EXE,FINANCIAL,1,Till Activity Log,460/471
SR241600.EXE,INVENTORY,1,Physical Verification Status,430/446
SR241700.EXE,INVENTORY,1,Stock Availability,430/445
SR242500.EXE,EXECUTABLE,1,Customers,650/658
SR242900.EXE,EXECUTABLE,1,Credit Sale,460/4702
SR244000.exe,REPORT,1,Personnel Listing,650/660
SR244300.exe,REPORT,1,Price Listing-New,650/661
SR244700.EXE,REPORT,1,Incentive Analysis,470/492
SR309000.EXE,UTILITY,3,Backup | Restore | Compact,500/503 | 500/504 | 500/505
SR309700.EXE,IMPORT_EXPORT,1,ID / IM Flat File,550/554
SR309900.EXE,EXECUTABLE,1,CLOSE Day,500/502
SR311400.EXE,IMPORT_EXPORT,1,Send Flat Files to HO,520/521
SR311900.EXE,UTILITY,1,Purge Data,500/507
SR312200.EXE,EXECUTABLE,1,Customer Information,550/555
SR312300.EXE,EXECUTABLE,1,Customer Information,530/533
SR320500.exe,MASTER,1,Item Master,530/531
SR320800.EXE,EXECUTABLE,1,Data Rebuild,750/756
SR322300.EXE,EXECUTABLE,1,Pricing Details,550/553
SR322600.Exe,EXECUTABLE,1,OPEN Day,500/501
SR323300.EXE,FINANCIAL,1,Change Payment Mode,100/109
SR323400.EXE,INVENTORY,1,Physical Stock Management,350/351
SR323600.EXE,PRINT,1,Print Address Labels,613/6134
SR324400.exe,IMPORT_EXPORT,1,Import DC / Master from PT File,300/311
SR325500.EXE,IMPORT_EXPORT,1,Import Items from Secondary to Primary Db.,530/537
SR327100.EXE,IMPORT_EXPORT,1,Create PT File,550/552
SR329700.EXE,EXECUTABLE,1,Database Archival,750/760
SR329900.EXE,UTILITY,1,Delete Backup File,500/510
SR330700.EXE,EXECUTABLE,1,Price Revision,530/532
SR332800.EXE,EXECUTABLE,1,Active Sales Promotions,530/535
SR333100.Exe,EXECUTABLE,1,Re-Open Day,750/759
SR404700.EXE,EXECUTABLE,1,Customer Price Group,613/6131
SR404800.EXE,EXECUTABLE,1,Vendor,600/602
SR404900.EXE,MASTER,1,Item Classification,600/604
SR405300.EXE,EXECUTABLE,1,HO Chain Stores,600/611
SR405600.EXE,FINANCIAL,1,Payment Mode,600/610
SR405800.EXE,EXECUTABLE,1,Sales Factors,609/6091
SR406500.exe,EXECUTABLE,1,Company Maintenance,700/712
SR410800.EXE,EXECUTABLE,1,Pay-in Slip Generation,260/265
SR413000.EXE,INVENTORY,1,Design Label for Barcode Printers,370/371
SR413100.EXE,PRINT,1,Print Labels,370/374
SR413400.EXE,EXECUTABLE,1,Node Management,750/755
SR426400.EXE,CONFIGURATION,1,System Parameters,720/721
SR428100.Exe,EXECUTABLE,1,Year End Process,750/758
SR428200.EXE,PRINT,1,Printing Templates,720/724
SR428700.EXE,IMPORT_EXPORT,1,Flat File Values,720/725
SR428900.Exe,EXECUTABLE,3,Shoper Help | About Shoper | Live Chat,800/801 | 800/803 | 800/804
SR429000.exe,EXECUTABLE,1,Create Secondary Database,700/713
SR429200.EXE,EXECUTABLE,1,General Lookup,600/601
SR429300.EXE,TRANSACTION,1,Cash / Purchase Order Prefix,720/727
SR430100.EXE,EXECUTABLE,1,Size Management,600/605
SR430300.EXE,EXECUTABLE,2,Sales Promotions | Define Sales Promotions,530/538 | 600/608
SR430600.Exe,EXECUTABLE,1,Franchisee Details Form,260/262
SR430800.EXE,MASTER,1,Style Catalogue,650/653
SR430900.EXE,EXECUTABLE,1,Customer Mailer,613/6133
SR431000.EXE,CONFIGURATION,1,Tally Interface - Mapping,720/728
SR431200.EXE,PRINT,2,Design Label for Standard Printers | Design Layout for Standard Printers,370/372 | 370/373
SR431500.EXE,EXECUTABLE,1,Post Transactions to Tally,550/551
SR431700.EXE,EXECUTABLE,6,Change Company Information | Delete Mapping | Changes Master | Manage Missing Vouchers | Offline Re-posting | Voucher Comparison Utility,740/741 | 740/742 | 740/743 | 740/744 | 740/745 | 740/746
SR431800.EXE,CONFIGURATION,1,Tally Interface - HSN Mapping,720/729
SR432000.exe,EXECUTABLE,1,Company Creation,700/711
SR435600.EXE,REPORT,21,Schedule for &Reports | Activity Log | Support Centre | Bill-wise | Product-wise | Product + Brand-wise,500/580 | 500/581 | 800/802 | 910/911 | 910/912 | 910/913
SR435700.exe,EXECUTABLE,1,Manage DayEnd/ DayBegin Activity List,750/765
SR438500.EXE,PRINT,1,Print Engine Configuration,720/804
SR438600.EXE,CONFIGURATION,1,Bill Prefix,720/722
SR439400.EXE,EXECUTABLE,1,Item Reclassification,750/771
SR439900.EXE,EXECUTABLE,1,Excise Duty,603/6033
SR440100.EXE,TRANSACTION,1,Excise Invoice Generation,100/111
SR440700.EXE,INVENTORY,1,Carton,360/362
SR440900.EXE,EXECUTABLE,1,Packing,360/363
SR441100.EXE,INVENTORY,1,Carton Type Creation,360/361
SR442300.EXE,MASTER,1,Customer Catalogue,613/6132
SR442900.EXE,MASTER,1,Personnel Catalogue,612/6121
SR443900.exe,EXECUTABLE,1,Incentive Definition,612/6124
SR708100.EXE,EXECUTABLE,2,Sales Tax | Purchase Tax,603/6031 | 603/6032
SR721000.EXE,EXECUTABLE,1,Delete Temporary Tables,500/509
SR721500.EXE,EXECUTABLE,1,Tax Re-computation,750/772
SR730000.EXE,EXECUTABLE,1,Cost price Variance Fixing,750/757
